State,avg_inc_2018
" Washington, D.C.",85203
 Maryland,83242
 Massachusetts,79835
 New Jersey,81740
 Hawaii,80212
 California,75277
 Connecticut,76348
Washington (state) Washington,74073
 New Hampshire,74991
 Colorado,71953
 Virginia,72577
 Utah,71414
 Alaska,74346
 Minnesota,70315
New York (state) New York,67844
 Rhode Island,64340
 Delaware,64805
 Illinois,65030
 Oregon,63426
 Wyoming,61584
 North Dakota,63837
 Wisconsin,60773
 Texas,60629
 Pennsylvania,60905
 Nevada,58646
 Nebraska,59566
 Vermont,60782
 Kansas,58218
 Arizona,59246
Georgia (U.S. state) Georgia,58756
 Iowa,59955
 Idaho,55583
 Michigan,56697
 South Dakota,56274
 Florida,55462
 Maine,55602
 Ohio,56111
 Indiana,55746
 Missouri,54478
 North Carolina,53855
 Montana,55328
 South Carolina,52306
 Tennessee,52375
 Oklahoma,51924
 Kentucky,50247
 New Mexico,47169
 Alabama,49861
 Louisiana,47905
 Arkansas,47062
 West Virginia,44097
 Mississippi,44717
