State,Code,avg_inc_2018
District of Columbia,DC,85203
Maryland,MD,83242
Massachusetts,MA,79835
New Jersey,NJ,81740
Hawaii,HI,80212
California,CA,75277
Connecticut,CT,76348
Washington,WA,74073
New Hampshire,NH,74991
Colorado,CO,71953
Virginia,VA,72577
Utah,UT,71414
Alaska,AK,74346
Minnesota,MN,70315
New York,NY,67844
Rhode Island,RI,64340
Delaware,DE,64805
Illinois,IL,65030
Oregon,OR,63426
Wyoming,WY,61584
North Dakota,ND,63837
Wisconsin,WI,60773
Texas,TX,60629
Pennsylvania,PA,60905
Nevada,NV,58646
Nebraska,NE,59566
Vermont,VT,60782
Kansas,KS,58218
Arizona,AZ,59246
Georgia,GA,58756
Iowa,IA,59955
Idaho,ID,55583
Michigan,MI,56697
South Dakota,SD,56274
Florida,FL,55462
Maine,ME,55602
Ohio,OH,56111
Indiana,IN,55746
Missouri,MO,54478
North Carolina,NC,53855
Montana,MT,55328
South Carolina,SC,52306
Tennessee,TN,52375
Oklahoma,OK,51924
Kentucky,KY,50247
New Mexico,NM,47169
Alabama,AL,49861
Louisiana,LA,47905
Arkansas,AR,47062
West Virginia,WV,44097
Mississippi,MS,44717
