Year,Name,G,AB,R,H,2B,3B,HR,RBI,BB,SO,BA,OBP,SLG,OPS,SB,CS,E,WPA,cWPA,OPP,,,,,,,
1921,Home Run Baker,4,8,0,2,0,0,0,0,1,0,0.25,0.333,0.25,0.583,0,0,0,-0.21,-0.117,NY Giants,,,,,,,
1921,Rip Collins,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0.000,NY Giants,,,,,,,
1921,Al DeVormer,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,NY Giants,,,,,,,
1921,Chick Fewster,4,10,3,2,0,0,1,2,3,3,0.2,0.385,0.5,0.885,0,0,0,-0.01,-0.036,NY Giants,,,,,,,
1921,Harry Harper,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0.000,NY Giants,,,,,,,
1921,Waite Hoyt,3,9,0,2,0,0,0,1,0,1,0.222,0.222,0.222,0.444,0,0,0,-0.16,-0.063,NY Giants,,,,,,,
1921,Carl Mays,3,9,0,1,0,0,0,0,0,1,0.111,0.111,0.111,0.222,0,0,0,-0.35,-0.132,NY Giants,,,,,,,
1921,Mike McNally,7,20,3,4,1,0,0,1,1,3,0.2,0.273,0.25,0.523,2,2,3,-0.08,-0.012,NY Giants,,,,,,,
1921,Bob Meusel,8,30,3,6,2,0,0,3,2,5,0.2,0.25,0.267,0.517,1,2,0,-0.25,-0.113,NY Giants,,,,,,,
1921,Elmer Miller,8,31,3,5,1,0,0,2,2,5,0.161,0.212,0.194,0.406,0,0,0,-0.4,-0.156,NY Giants,,,,,,,
1921,Roger Peckinpaugh,8,28,2,5,1,0,0,0,4,3,0.179,0.281,0.214,0.496,0,1,1,-0.34,-0.129,NY Giants,,,,,,,
1921,Bill Piercy,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0.000,NY Giants,,,,,,,
1921,Wally Pipp,8,26,1,4,1,0,0,2,2,3,0.154,0.214,0.192,0.407,1,1,0,-0.38,-0.151,NY Giants,,,,,,,
1921,Jack Quinn,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.11,-0.025,NY Giants,,,,,,,
1921,Tom Rogers,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0.000,NY Giants,,,,,,,
1921,Babe Ruth,6,16,3,5,0,0,1,4,5,8,0.313,0.476,0.5,0.976,2,1,0,0.09,0.003,NY Giants,,,,,,,
1921,Wally Schang,8,21,1,6,1,1,0,1,5,4,0.286,0.423,0.429,0.852,0,0,0,0.11,-0.006,NY Giants,,,,,,,
